source_file,formulation_group,formulation_label,drug_label,replicate_file_id,time_h,uv_signal,relative_uv_signal_per_h,AUC_0_8h_denominator,integral_0_8h
0525-紫外-亚甲蓝-Gemini.xlsx,Gemini 2.5 Flash,Gemini 2.5 Flash optimized,methylene_blue,0525-紫外-亚甲蓝-Gemini,0.0,0.0,0.0,2.1988333333333334,0.9999999999999999
0525-紫外-亚甲蓝-Gemini.xlsx,Gemini 2.5 Flash,Gemini 2.5 Flash optimized,methylene_blue,0525-紫外-亚甲蓝-Gemini,0.5,0.3016666666666667,0.137193966497385,2.1988333333333334,0.9999999999999999
0525-紫外-亚甲蓝-Gemini.xlsx,Gemini 2.5 Flash,Gemini 2.5 Flash optimized,methylene_blue,0525-紫外-亚甲蓝-Gemini,1.0,0.18266666666666667,0.08307435761388615,2.1988333333333334,0.9999999999999999
0525-紫外-亚甲蓝-Gemini.xlsx,Gemini 2.5 Flash,Gemini 2.5 Flash optimized,methylene_blue,0525-紫外-亚甲蓝-Gemini,2.0,0.242,0.11005836428409004,2.1988333333333334,0.9999999999999999
0525-紫外-亚甲蓝-Gemini.xlsx,Gemini 2.5 Flash,Gemini 2.5 Flash optimized,methylene_blue,0525-紫外-亚甲蓝-Gemini,4.0,0.49,0.22284544834381867,2.1988333333333334,0.9999999999999999
0525-紫外-亚甲蓝-Gemini.xlsx,Gemini 2.5 Flash,Gemini 2.5 Flash optimized,methylene_blue,0525-紫外-亚甲蓝-Gemini,6.0,0.27,0.12279238990373684,2.1988333333333334,0.9999999999999999
0525-紫外-亚甲蓝-Gemini.xlsx,Gemini 2.5 Flash,Gemini 2.5 Flash optimized,methylene_blue,0525-紫外-亚甲蓝-Gemini,8.0,0.027999999999999997,0.012734025619646781,2.1988333333333334,0.9999999999999999
0525-紫外-亚甲蓝-Qwen.xlsx,Qwen3.6-plus,Qwen3.6-plus optimized,methylene_blue,0525-紫外-亚甲蓝-Qwen,0.0,0.0,0.0,2.1151666666666666,1.0
0525-紫外-亚甲蓝-Qwen.xlsx,Qwen3.6-plus,Qwen3.6-plus optimized,methylene_blue,0525-紫外-亚甲蓝-Qwen,0.5,0.235,0.11110235600031518,2.1151666666666666,1.0
0525-紫外-亚甲蓝-Qwen.xlsx,Qwen3.6-plus,Qwen3.6-plus optimized,methylene_blue,0525-紫外-亚甲蓝-Qwen,1.0,0.17200000000000001,0.08131746907257112,2.1151666666666666,1.0
0525-紫外-亚甲蓝-Qwen.xlsx,Qwen3.6-plus,Qwen3.6-plus optimized,methylene_blue,0525-紫外-亚甲蓝-Qwen,2.0,0.228,0.10779292411945474,2.1151666666666666,1.0
0525-紫外-亚甲蓝-Qwen.xlsx,Qwen3.6-plus,Qwen3.6-plus optimized,methylene_blue,0525-紫外-亚甲蓝-Qwen,4.0,0.46366666666666667,0.2192104641084233,2.1151666666666666,1.0
0525-紫外-亚甲蓝-Qwen.xlsx,Qwen3.6-plus,Qwen3.6-plus optimized,methylene_blue,0525-紫外-亚甲蓝-Qwen,6.0,0.2813333333333333,0.13300764321172484,2.1151666666666666,1.0
0525-紫外-亚甲蓝-Qwen.xlsx,Qwen3.6-plus,Qwen3.6-plus optimized,methylene_blue,0525-紫外-亚甲蓝-Qwen,8.0,0.03666666666666667,0.017335119375935702,2.1151666666666666,1.0
0526-紫外-亚甲蓝-Qwen.xlsx,Qwen3.6-plus,Qwen3.6-plus optimized,methylene_blue,0526-紫外-亚甲蓝-Qwen,0.0,0.0,0.0,3.08275,1.0000000000000002
0526-紫外-亚甲蓝-Qwen.xlsx,Qwen3.6-plus,Qwen3.6-plus optimized,methylene_blue,0526-紫外-亚甲蓝-Qwen,0.5,0.11066666666666668,0.03589868353472279,3.08275,1.0000000000000002
0526-紫外-亚甲蓝-Qwen.xlsx,Qwen3.6-plus,Qwen3.6-plus optimized,methylene_blue,0526-紫外-亚甲蓝-Qwen,1.0,0.12833333333333333,0.041629497472494795,3.08275,1.0000000000000002
0526-紫外-亚甲蓝-Qwen.xlsx,Qwen3.6-plus,Qwen3.6-plus optimized,methylene_blue,0526-紫外-亚甲蓝-Qwen,2.0,0.20766666666666667,0.06736409591003703,3.08275,1.0000000000000002
0526-紫外-亚甲蓝-Qwen.xlsx,Qwen3.6-plus,Qwen3.6-plus optimized,methylene_blue,0526-紫外-亚甲蓝-Qwen,4.0,0.769,0.24945259914037793,3.08275,1.0000000000000002
0526-紫外-亚甲蓝-Qwen.xlsx,Qwen3.6-plus,Qwen3.6-plus optimized,methylene_blue,0526-紫外-亚甲蓝-Qwen,6.0,0.5023333333333334,0.16294974724947967,3.08275,1.0000000000000002
0526-紫外-亚甲蓝-Qwen.xlsx,Qwen3.6-plus,Qwen3.6-plus optimized,methylene_blue,0526-紫外-亚甲蓝-Qwen,8.0,0.077,0.024977698483496878,3.08275,1.0000000000000002
