source_file,formulation_group,formulation_label,drug_label,replicate_file_id,time_h,interval_mean_signal,duration_h,n_technical_measurements,interval_start_h,interval_end_h,interval_auc,AUC_0_8h_denominator,interval_auc_fraction,sum_interval_auc_fraction_0_8h,y_variable,normalization_formula,auc_method
0523-紫外-亚甲蓝-GPTS.xlsx,GPT-5-mini,GPT-5-mini optimized,methylene_blue,0523-紫外-亚甲蓝-GPTS,2.0,0.24133333333333332,1.0,3,1.0,2.0,0.24133333333333332,2.1466666666666665,0.1124223602484472,1.0000000000000002,absorbance,interval_auc_fraction = interval_mean_absorbance * interval_duration_h / sum(interval_mean_absorbance * interval_duration_h from 0 to 8 h),interval-average absorbance times duration; no trapezoidal interpolation
0523-紫外-亚甲蓝-GPTS.xlsx,GPT-5-mini,GPT-5-mini optimized,methylene_blue,0523-紫外-亚甲蓝-GPTS,4.0,0.5413333333333333,2.0,3,2.0,4.0,1.0826666666666667,2.1466666666666665,0.5043478260869566,1.0000000000000002,absorbance,interval_auc_fraction = interval_mean_absorbance * interval_duration_h / sum(interval_mean_absorbance * interval_duration_h from 0 to 8 h),interval-average absorbance times duration; no trapezoidal interpolation
0523-紫外-亚甲蓝-GPTS.xlsx,GPT-5-mini,GPT-5-mini optimized,methylene_blue,0523-紫外-亚甲蓝-GPTS,6.0,0.32233333333333336,2.0,3,4.0,6.0,0.6446666666666667,2.1466666666666665,0.30031055900621123,1.0000000000000002,absorbance,interval_auc_fraction = interval_mean_absorbance * interval_duration_h / sum(interval_mean_absorbance * interval_duration_h from 0 to 8 h),interval-average absorbance times duration; no trapezoidal interpolation
0523-紫外-亚甲蓝-GPTS.xlsx,GPT-5-mini,GPT-5-mini optimized,methylene_blue,0523-紫外-亚甲蓝-GPTS,8.0,0.02666666666666667,2.0,3,6.0,8.0,0.05333333333333334,2.1466666666666665,0.02484472049689441,1.0000000000000002,absorbance,interval_auc_fraction = interval_mean_absorbance * interval_duration_h / sum(interval_mean_absorbance * interval_duration_h from 0 to 8 h),interval-average absorbance times duration; no trapezoidal interpolation
0524-紫外-亚甲蓝-GPTS.xlsx,GPT-5-mini,GPT-5-mini optimized,methylene_blue,0524-紫外-亚甲蓝-GPTS,0.5,0.2383333333333333,0.5,3,0.0,0.5,0.11916666666666666,2.3609999999999998,0.050472963433573347,0.9999999999999999,absorbance,interval_auc_fraction = interval_mean_absorbance * interval_duration_h / sum(interval_mean_absorbance * interval_duration_h from 0 to 8 h),interval-average absorbance times duration; no trapezoidal interpolation
0524-紫外-亚甲蓝-GPTS.xlsx,GPT-5-mini,GPT-5-mini optimized,methylene_blue,0524-紫外-亚甲蓝-GPTS,1.0,0.19966666666666666,0.5,3,0.5,1.0,0.09983333333333333,2.3609999999999998,0.04228434279260201,0.9999999999999999,absorbance,interval_auc_fraction = interval_mean_absorbance * interval_duration_h / sum(interval_mean_absorbance * interval_duration_h from 0 to 8 h),interval-average absorbance times duration; no trapezoidal interpolation
0524-紫外-亚甲蓝-GPTS.xlsx,GPT-5-mini,GPT-5-mini optimized,methylene_blue,0524-紫外-亚甲蓝-GPTS,2.0,0.3133333333333333,1.0,3,1.0,2.0,0.3133333333333333,2.3609999999999998,0.1327121276295355,0.9999999999999999,absorbance,interval_auc_fraction = interval_mean_absorbance * interval_duration_h / sum(interval_mean_absorbance * interval_duration_h from 0 to 8 h),interval-average absorbance times duration; no trapezoidal interpolation
0524-紫外-亚甲蓝-GPTS.xlsx,GPT-5-mini,GPT-5-mini optimized,methylene_blue,0524-紫外-亚甲蓝-GPTS,4.0,0.5823333333333333,2.0,3,2.0,4.0,1.1646666666666665,2.3609999999999998,0.49329380206127343,0.9999999999999999,absorbance,interval_auc_fraction = interval_mean_absorbance * interval_duration_h / sum(interval_mean_absorbance * interval_duration_h from 0 to 8 h),interval-average absorbance times duration; no trapezoidal interpolation
0524-紫外-亚甲蓝-GPTS.xlsx,GPT-5-mini,GPT-5-mini optimized,methylene_blue,0524-紫外-亚甲蓝-GPTS,6.0,0.317,2.0,3,4.0,6.0,0.634,2.3609999999999998,0.26853028377806015,0.9999999999999999,absorbance,interval_auc_fraction = interval_mean_absorbance * interval_duration_h / sum(interval_mean_absorbance * interval_duration_h from 0 to 8 h),interval-average absorbance times duration; no trapezoidal interpolation
0524-紫外-亚甲蓝-GPTS.xlsx,GPT-5-mini,GPT-5-mini optimized,methylene_blue,0524-紫外-亚甲蓝-GPTS,8.0,0.015,2.0,3,6.0,8.0,0.03,2.3609999999999998,0.012706480304955529,0.9999999999999999,absorbance,interval_auc_fraction = interval_mean_absorbance * interval_duration_h / sum(interval_mean_absorbance * interval_duration_h from 0 to 8 h),interval-average absorbance times duration; no trapezoidal interpolation
