source_file,formulation_group,formulation_label,drug_label,replicate_file_id,time_h,uv_signal,n_technical_measurements,y_variable,baseline_added_for_plot
0417-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0417-紫外-亚甲蓝-标准粘度,1.0,0.050666666666666665,3,absorbance,False
0417-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0417-紫外-亚甲蓝-标准粘度,2.0,0.138,3,absorbance,False
0417-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0417-紫外-亚甲蓝-标准粘度,4.0,0.448,3,absorbance,False
0417-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0417-紫外-亚甲蓝-标准粘度,6.0,0.254,3,absorbance,False
0417-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0417-紫外-亚甲蓝-标准粘度,8.0,0.043666666666666666,3,absorbance,False
0417-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0417-紫外-亚甲蓝-标准粘度,12.0,0.018666666666666668,3,absorbance,False
0417-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0417-紫外-亚甲蓝-标准粘度,16.0,0.008666666666666666,3,absorbance,False
0417-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0417-紫外-亚甲蓝-标准粘度,20.0,0.007333333333333333,3,absorbance,False
0417-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0417-紫外-亚甲蓝-标准粘度,24.0,0.004666666666666667,3,absorbance,False
0421-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0421-紫外-亚甲蓝-标准粘度,0.0,0.0,3,absorbance,True
0421-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0421-紫外-亚甲蓝-标准粘度,0.5,0.032,3,absorbance,False
0421-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0421-紫外-亚甲蓝-标准粘度,1.0,0.052,3,absorbance,False
0421-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0421-紫外-亚甲蓝-标准粘度,2.0,0.168,3,absorbance,False
0421-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0421-紫外-亚甲蓝-标准粘度,4.0,0.5153333333333333,3,absorbance,False
0421-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0421-紫外-亚甲蓝-标准粘度,6.0,0.553,3,absorbance,False
0421-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0421-紫外-亚甲蓝-标准粘度,8.0,0.07766666666666666,3,absorbance,False
0421-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0421-紫外-亚甲蓝-标准粘度,12.0,0.016666666666666666,3,absorbance,False
0421-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0421-紫外-亚甲蓝-标准粘度,16.0,0.014333333333333332,3,absorbance,False
0421-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0421-紫外-亚甲蓝-标准粘度,20.0,0.004333333333333333,3,absorbance,False
0421-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0421-紫外-亚甲蓝-标准粘度,24.0,-0.0013333333333333333,3,absorbance,False
0520-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0520-紫外-亚甲蓝-标准粘度,0.0,0.0,3,absorbance,True
0520-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0520-紫外-亚甲蓝-标准粘度,0.5,0.005666666666666667,3,absorbance,False
0520-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0520-紫外-亚甲蓝-标准粘度,1.0,0.03266666666666667,3,absorbance,False
0520-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0520-紫外-亚甲蓝-标准粘度,2.0,0.151,3,absorbance,False
0520-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0520-紫外-亚甲蓝-标准粘度,4.0,0.4386666666666667,3,absorbance,False
0520-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0520-紫外-亚甲蓝-标准粘度,6.0,0.25633333333333336,3,absorbance,False
0520-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0520-紫外-亚甲蓝-标准粘度,8.0,0.015333333333333332,3,absorbance,False
